,features,counts
685,leaf,0.7562819341018286
686,build,0.755232443753231
687,change,0.7538912746522339
688,defined,0.7524959862166506
689,median,0.7509282166774127
690,kernels,0.7461842744563749
691,likelihood,0.7455379227327443
692,start,0.7453923628791369
693,contains,0.7449075054336612
694,well,0.7448733115881238
695,stored,0.7430007363968361
696,transformed,0.7412235758668846
697,algorithms,0.7406061370106743
698,multiple,0.7395834055990945
699,dependencies,0.736482566842511
700,been,0.7362562881289167
701,unless,0.733476858394717
702,glossary,0.7319836904945519
703,scaling,0.7319406510875383
704,above,0.7296847898951832
705,sets,0.7291245104922218
706,real,0.7272244262569133
707,matrices,0.7265666099758111
708,computation,0.72644617195818
709,max,0.7250879244046678
710,nodes,0.7237046711748832
711,..utils,0.7212782150623493
712,attr,0.7212779525732606
713,full,0.7192848099272204
714,symboltablenode,0.7166954539791783
715,select,0.7165402444928715
716,kind,0.7153909837953191
717,scoring,0.7149809340520502
718,second,0.7138277404824671
719,inverse,0.710864593754177
720,penalty,0.7090745428361581
721,possible,0.708660464753663
722,est,0.7083183062453752
723,calculate,0.7066613962403183
724,max_features,0.7053135824347148
725,missing,0.704564984150779
726,apply,0.6984810014324184
727,sum,0.6968330941670537
728,early,0.6968125011358369
729,initial,0.6959559253686564
730,theta,0.6943406310161266
731,just,0.693308572452887
732,-=,0.6928915372279605
733,useful,0.6912183005668932
734,np.unique,0.6906738630294345
735,/=,0.6904698570469243
736,transformermixin,0.6867126831619723
737,np.abs,0.6859694704566386
738,center,0.68434712790143
739,document,0.6835508956339726
740,decorator,0.682603161234459
741,n_outputs,0.6804767996002448
742,cases,0.6782979207907707
743,warnings.warn,0.6766935309725691
744,strategy,0.6764187357300705
745,coefficients,0.6755482223017231
746,l1,0.6747381712189818
747,ignore,0.6734612861978485
748,n_iter,0.6726214778335138
749,np.asarray,0.672040214389534
750,ca,0.6713449301996214
751,np.ones,0.6711772277351918
752,transformers,0.6679013302672406
753,applied,0.666173638940344
754,convergence,0.6661685409170462
755,greater,0.665900579319913
756,sorted,0.6644905227640819
757,warnings,0.6644443606164271
758,instances,0.6640467530361462
759,allows,0.6631537490093389
760,various,0.6614872544416597
761,.__init__,0.6578085157762327
762,self.classes_,0.6550746331597493
763,way,0.6549387460312613
764,n_active,0.6545950975382399
765,supertype,0.6526644106288616
766,dimension,0.6515419235507605
767,coef,0.6496187515960286
768,stop,0.6481686220529042
769,larger,0.647622120844185
770,fitted,0.6470759668596953
771,q,0.6470449610477432
772,last,0.645660784824035
773,bounds,0.6438165867782739
774,property,0.6425867556558472
775,better,0.6423610606550918
776,reference,0.6396137573296424
777,required,0.6359168913960676
778,y.shape,0.634313818793739
779,..base,0.6342637929321617
780,corresponding,0.6326282808213533
781,per,0.6326122726941127
782,match,0.6307918968818582
783,dtype=np.float64,0.6284415241920768
784,next,0.628369327738011
785,signature,0.6282891583314261
786,fallback,0.6275982658554184
787,invalid,0.6266299305639523
788,op,0.6228368021232074
789,groups,0.6217669474819265
790,normalize,0.6204903382888851
791,removed,0.6204631042196146
792,typevartype,0.6200931709300993
793,literal,0.6173274775209173
794,inputs,0.615947194521542
795,defaults,0.6153083881256087
796,*=,0.6118032381428508
797,times,0.6095382049498038
798,faster,0.6076741672822861
799,alphas,0.606567571970206
800,bound,0.6018480926027607
801,package,0.5995295601137988
802,body,0.5976166123475024
803,consider,0.5973668394331955
804,contain,0.597306598457072
805,implementation,0.596040757592722
806,decision_function,0.5954737748280706
